OID_,SAMPLE_ID,DIST_M,NEAR_RANK,AHA_ID,ZIP,AHA_ID_lon,AHA_ID_lat,ZIP_lon,ZIP_lat,BIN,STATE_ABBR,Google Maps,Bing Maps,ESRI Routing Service,OSRM,OSMNx,ArcGIS Pro,Total_Kilometers_Esri_Desktop
2001,1,173.32370739387846,1,6840875.0,81648,-108.80659066,40.08025942,-108.80599847,40.078766209,0-15,CO,0.8833333333333333,1.4666666666666666,4.20509748435078,0.9133333333333332,0.7333333333333333,0.602626105,0.219917005
2324,324,580.8224034380796,1,6232575.0,15243,-80.06620936999998,40.37731533,-80.072264336,40.374883085,0-15,PA,0.8833333333333333,0.8666666666666667,0.787713386982929,0.825,0.7166666666666667,0.797469151,0.594559501
2306,306,264.90280432349203,1,6230760.0,16507,-80.08792688,42.13352496,-80.086649816,42.131337709,0-15,PA,1.0166666666666666,0.6166666666666667,0.7232058767967101,0.6933333333333334,0.35,0.65915859,0.269490736
3199,1199,160.15590813513893,1,6640004.0,58702,-101.29381804,48.23258249,-101.295411,48.231612,0-15,ND,1.1333333333333333,1.0333333333333334,0.6502080821930061,0.3816666666666666,0.15,0.617632255,0.298608488
3201,1201,497.392691269702,1,6640020.0,58502,-100.78225892,46.80810725,-100.788736,46.808599,0-15,ND,1.45,1.4,1.1592819500373064,0.875,0.5,1.108445577,0.494467345
3309,1309,48.8121335627332,1,6720708.0,70551,-92.07652343,30.54452714,-92.0764,30.5441,0-15,LA,1.55,0.1,0.2207970618842834,0.105,0.0,0.188527967,0.042481598
3859,1859,287.2686197046675,1,6320785.0,21803,-75.59821669,38.36309115,-75.59910399999998,38.365583,0-15,MD,1.6166666666666667,2.2666666666666666,1.5116345868421484,0.91,0.5333333333333333,1.452720583,0.545919157
2672,672,772.4640773681051,1,6393411.0,33468,-80.09455923,26.92270829,-80.102092,26.920974,0-15,FL,1.8166666666666669,2.316666666666667,1.8057096186668031,1.89,1.0333333333333334,2.136289584,1.338102405
2167,167,480.09131061985767,1,6213990.0,12901,-73.46926181,44.70101163,-73.465558446,44.697592883,0-15,NY,1.9166666666666667,2.85,1.7883862544107574,2.3916666666666666,0.0,2.497355173,0.97903159
3287,1287,684.9997244076611,1,6720050.0,71301,-92.46106797,31.28218621,-92.464912975,31.287407876,0-15,LA,2.25,2.533333333333333,2.030703225066272,2.19,1.5666666666666669,1.951440056,1.183594585
2651,651,798.1565073099465,1,6390792.0,32501,-87.23132415,30.42868157,-87.224011069,30.425265147,0-15,FL,2.2666666666666666,3.1166666666666667,2.322420392879335,1.905,1.5,2.279008585,1.076814971
3302,1302,183.27416794432656,1,6720460.0,71210,-92.11463779,32.49945204,-92.115409,32.50097,0-15,LA,2.3333333333333335,2.1166666666666667,2.157449856909214,1.4633333333333334,0.6166666666666667,0.516023581,0.183152882
3152,1152,1286.2768857942187,1,6621375.0,50702,-92.34721255,42.46268976,-92.334687473,42.469624442,0-15,IA,2.5,2.8833333333333333,2.3674910061264813,2.3516666666666666,1.7666666666666666,2.363027218,1.538185777
3599,1599,1319.193781000214,1,6860320.0,86304,-112.48211265,34.55957439,-112.477852,34.548217,0-15,AZ,2.55,2.3,2.110703008679219,1.5666666666666669,1.2333333333333334,2.130679551,1.342707892
2766,766,1147.2007878911888,1,6420920.0,46952,-85.66616641999998,40.56504243,-85.664812431,40.575321602,0-15,IN,2.6,3.183333333333333,2.267922182890513,2.9166666666666665,1.7,2.128563064,1.293284091
3503,1503,543.0977658916389,1,6810003.0,59405,-111.26260525,47.49203904,-111.25543194,47.49156615,0-15,MT,2.6166666666666667,3.4166666666666665,2.112908662034787,2.3766666666666665,0.65,1.929195193,0.78126628
3847,1847,1229.123632634915,1,6933910.0,95695,-121.79335247,38.66402398,-121.79103917,38.674946716,0-15,CA,2.716666666666667,4.516666666666667,3.089991863474608,2.931666666666666,2.1166666666666667,2.922734707,1.543063692
3602,1602,806.6625096757742,1,6860325.0,85027,-112.11721253,33.665874,-112.10972612,33.669576363,0-15,AZ,2.95,2.683333333333333,1.399890996348132,1.8183333333333331,1.2666666666666666,1.559248936,1.269003076
2953,953,752.6496130741623,1,6450610.0,53141,-87.81930359,42.57796897,-87.82207699999998,42.584427,0-15,WI,2.966666666666667,2.6166666666666667,1.6718206260436623,1.8066666666666669,0.8666666666666667,1.687657229,0.902909188
2780,780,969.6484523582652,1,6430017.0,62301,-91.3983299,39.93562005,-91.389071958,39.930573342,0-15,IL,2.9833333333333334,3.3,2.5161770810964956,2.695,1.4833333333333334,2.591142413,1.350253049
3555,1555,713.3773350498316,1,6840795.0,81402,-107.86914071,38.48058725,-107.876695,38.47813,0-15,CO,3.1,3.2333333333333334,2.448671472894252,2.345,1.0666666666666669,2.172710982,0.950641724
3336,1336,620.539215717684,1,6730220.0,74538,-96.22421719,34.53940288,-96.220157469,34.534930195,0-15,OK,3.1333333333333333,3.35,2.759086167786592,1.4466666666666663,0.6166666666666667,2.523728175,1.0084541
2578,578,2064.713714324777,1,6390004.0,34749,-81.86836943,28.80660322,-81.887675,28.798995,0-15,FL,3.2333333333333334,4.15,2.896073052510832,3.443333333333334,2.3833333333333333,3.115884008,2.442820143
3205,1205,806.6829330279845,1,6640180.0,58105,-96.78723641,46.88507219,-96.790355,46.878138,0-15,ND,3.283333333333333,4.116666666666666,2.6643730080059727,2.275,0.9666666666666668,2.708672306,1.013441713
2556,556,1468.5465095494137,1,6380486.0,31702,-84.15766139999998,31.58998772,-84.154938,31.57695,0-15,GA,3.316666666666667,3.7,2.814979909425055,2.7183333333333333,1.6333333333333333,3.15396144,1.704969596
2507,507,1270.6720608161268,1,6370009.0,29503,-79.75903583999998,34.19594744,-79.772761,34.197022,0-15,SC,3.35,3.3666666666666667,3.1468305430860206,1.9083333333333337,1.3166666666666669,3.178776024,1.452369127
3805,1805,1422.5404509968,1,6932595.0,93556,-117.66984746,35.64078399,-117.669632,35.627964,0-15,CA,3.3666666666666667,3.6,2.5608131993289165,2.725,1.5166666666666666,1.944256622,1.445537027
3106,1106,1140.3800223119783,1,6610451.0,55903,-92.482402,44.02161253,-92.469146698,44.025334762,0-15,MN,3.4166666666666665,3.8833333333333337,3.3765154360342935,2.575,1.9166666666666667,3.05616959,1.476956585
3232,1232,1065.899703928178,1,6670016.0,67402,-97.60920741,38.83333399,-97.607753,38.842868,0-15,KS,3.433333333333333,3.1,3.287657160203874,1.5033333333333334,0.9,2.712843448,1.173633677
2977,977,1529.944988077296,1,6510275.0,40831,-83.31370626,36.8101128,-83.322404848,36.821993601,0-15,KY,3.466666666666667,4.316666666666666,2.3643658236161147,2.6983333333333333,2.2666666666666666,1.778715272,1.957287353
3824,1824,1669.6387288062126,1,6933375.0,93101,-119.72385236,34.42881209,-119.70875389,34.420445144,0-15,CA,3.466666666666667,4.1,3.474594002144035,3.1383333333333336,1.9333333333333331,4.776541412,2.073785476
3330,1330,1095.9425782859769,1,6730055.0,73401,-97.14064956,34.18847585,-97.134916436,34.179820613,0-15,OK,3.4833333333333334,3.85,3.7009447261434816,2.808333333333333,1.2833333333333334,2.946498194,1.343222658
3222,1222,1093.0889210945943,1,6660290.0,68803,-98.37167369,40.92429168,-98.384003139,40.92736329,0-15,NE,3.55,3.7666666666666666,2.859111505876858,2.835,1.5333333333333334,2.771197569,1.512054247
3506,1506,1485.8122633937612,1,6810007.0,59904,-114.32504732,48.21510446,-114.330351,48.202221,0-15,MT,3.6333333333333337,4.033333333333333,3.356339189898297,4.425,2.183333333333333,3.535239903,2.192272995
3216,1216,1474.7183454308272,1,6660002.0,68847,-99.08127522,40.7064741,-99.064695583,40.710618718,0-15,NE,3.6333333333333337,4.633333333333334,3.5617289095217908,2.8,1.6166666666666667,3.122743733,1.855908234
3137,1137,876.0457076623386,2,6620180.0,52406,-91.6604823,41.98538438,-91.658946,41.977581,0-15,IA,3.65,5.233333333333333,2.63090577207874,1.9483333333333337,1.2166666666666666,2.453445993,1.117113014
2573,573,1796.2133545418844,1,6381160.0,31794,-83.49165406,31.47047921,-83.489023814,31.454436872,0-15,GA,3.6666666666666665,4.383333333333334,4.043503317853292,5.2683333333333335,2.683333333333333,3.997181903,2.111938537
3341,1341,1893.520785972772,1,6730570.0,73506,-98.46282597,34.59433251,-98.473259,34.609061,0-15,OK,3.716666666666667,4.716666666666667,2.894440186303658,3.9866666666666664,2.8333333333333335,3.342044789,3.126335793
3843,1843,1436.3996031912784,1,6933804.0,91408,-118.463264,34.19395745,-118.44874545,34.189253484,0-15,CA,3.75,3.533333333333333,2.9151205086512517,2.658333333333333,1.9166666666666667,2.415921042,1.860819183
3149,1149,1589.321091789907,1,6621360.0,50703,-92.33775852,42.52679095,-92.33067477,42.513477629,0-15,IA,3.7666666666666666,6.033333333333333,2.805333276317406,2.1516666666666664,1.5,2.62313553,2.030141436
3528,1528,1523.5762882814884,1,6830040.0,82602,-106.30825666,42.84830773,-106.32621618,42.851978498,0-15,WY,3.85,5.316666666666666,3.1553358285019937,2.8733333333333335,1.5833333333333333,3.449894736,1.961398469
3057,1057,1629.7348745248407,1,6540004.0,39202,-90.17551126,32.32871664,-90.176585859,32.314048458,0-15,MS,3.85,3.7666666666666666,3.2186583160203495,2.2849999999999997,1.6,4.010430568,2.089085285
2650,650,967.394453796749,1,6390776.0,32405,-85.66488399,30.18772398,-85.667993038,30.19602213,0-15,FL,3.8833333333333337,4.05,3.1376130216090266,2.3,1.45,2.94663576,1.224383127
2778,778,1041.576627552362,1,6430001.0,61825,-88.22743982999998,40.11741988,-88.235341,40.110265,0-15,IL,4.033333333333333,3.9833333333333334,3.3306883956517632,2.6533333333333333,1.7166666666666666,3.094712693,1.454523242
2533,533,2018.927935002613,1,6370640.0,29150,-80.34436408,33.9237528,-80.36502409499998,33.917866564,0-15,SC,4.033333333333333,4.566666666666666,3.678500257867752,2.825,2.1166666666666667,3.42399194,2.493343342
3087,1087,765.584270210121,2,6540580.0,39302,-88.70743496999998,32.363522,-88.69981099999998,32.365929,0-15,MS,4.066666666666666,3.3833333333333333,2.412218892237408,1.5916666666666666,1.0166666666666666,1.914611773,1.006032053
3520,1520,1727.8954713687888,1,6820050.0,83712,-116.19257625,43.61242381,-116.1736949,43.605100232,0-15,ID,4.083333333333333,4.283333333333333,3.723999768565933,3.4516666666666667,2.55,3.743382453,2.050594707
3587,1587,1254.0478102582476,1,6860021.0,86002,-111.6449311,35.20915521,-111.646408,35.197917,0-15,AZ,4.083333333333333,3.9833333333333334,3.3886180590228547,3.6566666666666663,2.5166666666666666,3.346689849,1.528020743
2250,250,1824.987860013489,1,6221235.0,7423,-74.10158345,40.98403122,-74.101645972,41.000464525,0-15,NJ,4.083333333333333,4.366666666666666,3.4426433032183774,4.371666666666667,2.9,4.898813009,2.972715757
2925,925,1563.327448821763,1,6441847.0,48046,-82.89702031,42.58680165,-82.8788,42.5909,0-15,MI,4.083333333333333,5.733333333333333,3.495270581169204,5.003333333333333,3.15,3.507838288,2.61630214
3684,1684,1387.217777542348,1,6920070.0,97701,-121.26818701,44.06773701,-121.25963675,44.078593721,0-15,OR,4.1,5.066666666666666,4.708299220089568,3.9883333333333337,2.7333333333333334,3.993807922,2.290491443
3576,1576,784.7496978782356,1,6850390.0,87505,-105.94544196,35.659854,-105.95066673,35.654211108,0-15,NM,4.133333333333334,5.366666666666666,3.552247417488022,3.145,2.6666666666666665,4.796827129,1.626443854
2473,473,1315.2468018698712,1,6360355.0,27715,-78.93728402,36.00814282,-78.95052599999998,36.013118,0-15,NC,4.15,4.866666666666666,3.178831352774566,2.981666666666667,1.6833333333333331,2.990109821,1.786020431
